Id,Title,Description,Price,Brand,Category
1,iPhone 9,An apple mobile which is nothing like apple,549,Apple,smartphones
2,iPhone X,"SIM-Free, Model A19211 6.5-inch Super Retina HD display with OLED technology A12 Bionic chip with ...",899,Apple,smartphones
3,Samsung Universe 9,Samsung's new variant which goes beyond Galaxy to the Universe,1249,Samsung,smartphones
4,OPPOF19,OPPO F19 is officially announced on April 2021.,280,OPPO,smartphones
5,Huawei P30,Huawei’s re-badged P30 Pro New Edition was officially unveiled yesterday in Germany and now the device has made its way to the UK.,499,Huawei,smartphones
6,MacBook Pro,"MacBook Pro 2021 with mini-LED display may launch between September, November",1749,Apple,laptops
7,Samsung Galaxy Book,"Samsung Galaxy Book S (2020) Laptop With Intel Lakefield Chip, 8GB of RAM Launched",1499,Samsung,laptops
8,Microsoft Surface Laptop 4,Style and speed. Stand out on HD video calls backed by Studio Mics. Capture ideas on the vibrant touchscreen.,1499,Microsoft Surface,laptops
9,Infinix INBOOK,Infinix Inbook X1 Ci3 10th 8GB 256GB 14 Win10 Grey – 1 Year Warranty,1099,Infinix,laptops
10,HP Pavilion 15-DK1056WM,"HP Pavilion 15-DK1056WM Gaming Laptop 10th Gen Core i5, 8GB, 256GB SSD, GTX 1650 4GB, Windows 10",1099,HP Pavilion,laptops
11,perfume Oil,"Mega Discount, Impression of Acqua Di Gio by GiorgioArmani concentrated attar perfume Oil",13,Impression of Acqua Di Gio,fragrances
12,Brown Perfume,Royal_Mirage Sport Brown Perfume for Men & Women - 120ml,40,Royal_Mirage,fragrances
13,Fog Scent Xpressio Perfume,Product details of Best Fog Scent Xpressio Perfume 100ml For Men cool long lasting perfumes for Men,13,Fog Scent Xpressio,fragrances
14,Non-Alcoholic Concentrated Perfume Oil,Original Al Munakh® by Mahal Al Musk | Our Impression of Climate | 6ml Non-Alcoholic Concentrated Perfume Oil,120,Al Munakh,fragrances
15,Eau De Perfume Spray,Genuine  Al-Rehab spray perfume from UAE/Saudi Arabia/Yemen High Quality,30,Lord - Al-Rehab,fragrances
16,Hyaluronic Acid Serum,L'OrÃ©al Paris introduces Hyaluron Expert Replumping Serum formulated with 1.5% Hyaluronic Acid,19,L'Oreal Paris,skincare
17,Tree Oil 30ml,"Tea tree oil contains a number of compounds, including terpinen-4-ol, that have been shown to kill certain bacteria,",12,Hemani Tea,skincare
18,Oil Free Moisturizer 100ml,"Dermive Oil Free Moisturizer with SPF 20 is specifically formulated with ceramides, hyaluronic acid & sunscreen.",40,Dermive,skincare
19,Skin Beauty Serum.,Product name: rorec collagen hyaluronic acid white face serum riceNet weight: 15 m,46,ROREC White Rice,skincare
20,Freckle Treatment Cream- 15gm,"Fair & Clear is Pakistan's only pure Freckle cream which helpsfade Freckles, Darkspots and pigments. Mercury level is 0%, so there are no side effects.",70,Fair & Clear,skincare
21,- Daal Masoor 500 grams,Fine quality Branded Product Keep in a cool and dry place,20,Saaf & Khaas,groceries
22,Elbow Macaroni - 400 gm,Product details of Bake Parlor Big Elbow Macaroni - 400 gm,14,Bake Parlor Big,groceries
23,Orange Essence Food Flavou,Specifications of Orange Essence Food Flavour For Cakes and Baking Food Item,14,Baking Food Items,groceries
24,cereals muesli fruit nuts,original fauji cereal muesli 250gm box pack original fauji cereals muesli fruit nuts flakes breakfast cereal break fast faujicereals cerels cerel foji fouji,46,fauji,groceries
25,Gulab Powder 50 Gram,Dry Rose Flower Powder Gulab Powder 50 Gram • Treats Wounds,70,Dry Rose,groceries
26,Plant Hanger For Home,Boho Decor Plant Hanger For Home Wall Decoration Macrame Wall Hanging Shelf,41,Boho Decor,home-decoration
27,Flying Wooden Bird,"Package Include 6 Birds with Adhesive Tape Shape: 3D Shaped Wooden Birds Material: Wooden MDF, Laminated 3.5mm",51,Flying Wooden,home-decoration
28,3D Embellishment Art Lamp,3D led lamp sticker Wall sticker 3d wall art light on/off button  cell operated (included),20,LED Lights,home-decoration
29,Handcraft Chinese style,Handcraft Chinese style art luxury palace hotel villa mansion home decor ceramic vase with brass fruit plate,60,luxury palace,home-decoration
30,Key Holder,Attractive DesignMetallic materialFour key hooksReliable & DurablePremium Quality,30,Golden,home-decoration
